"Дата","ID Кампании","Название кампании","Кампания","Площадка","Показы","Клики","Расход до НДС","Визиты"
2025-05-21,1305055,"ФРК4 Бизнес-Фест, апрель-декабрь 2025",rk1305055gr34411,Telegram Ads,30002,47,3643.699951171875,16
2025-05-21,1305055,"ФРК4 Бизнес-Фест, апрель-декабрь 2025",s_m_business_SBFest_rostovnd_corporate_media_frk_may2025_banner_rk1305055gr34425_,Regionza,,,,8
2025-05-21,1305055,"ФРК4 Бизнес-Фест, апрель-декабрь 2025",s_m_business_SBFest_rostovnd_corporate_media_frk_may2025_banner_rk1305055gr35131_NativeRent,NativeRent,,,,0
2025-05-21,1305055,"ФРК4 Бизнес-Фест, апрель-декабрь 2025",s_m_business_SBFest_nnovgorod_corporate_media_frk_may2025_banner_rk1305055gr35196_NativeRent,NativeRent,,,,0
2025-05-21,1329310,Годовая кампания. Продвижение СберБизнес Live ММБ РКО_2025 (Воронка по ОТР Мероприятиям),sberbusiness.live_ecom_corporate_perform_frk_rk1329310gr34660_dmp_rus,VK Реклама,970,11,559.7900085449219,6
2025-05-21,1329310,Годовая кампания. Продвижение СберБизнес Live ММБ РКО_2025 (Воронка по ОТР Мероприятиям),s_m_business_ecom_corporate_perform_frk_rk1329310gr34661_context_network_remarketing_rus,Яндекс.Директ,463,,,0
2025-05-21,1329310,Годовая кампания. Продвижение СберБизнес Live ММБ РКО_2025 (Воронка по ОТР Мероприятиям),sberbusiness.live_ecom_corporate_perform_frk_rk1329310gr34661_context_network_segment_rus,Яндекс.Директ,4919,9,937.5,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29340_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29340_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display_Bankiros_FS,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29341_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29341_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display_Bankiros_Top-Billboard,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29342_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29342_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display_Bankiros_Bottom-Billboard,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29343_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display,РКО.РФ,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29343_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display_RKO-rf_FS,РКО.РФ,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29344_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29344_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display_Bankiros_Partner,Bankiros,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29345_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display,РКО.РФ,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr29345_s_m_business_open-accounts_corporate_rko_rk-bankiros_2025_display_RKO-rf_Product,РКО.РФ,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33201_s_m_business_open-accounts_corporate_rko_rk-vbr_2025_display,Выберу,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__accountant_240x400,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__accountant_300x300,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__accountant_320x100,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__accountant_990x140,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__lawyer_240x400,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__lawyer_300x300,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__lawyer_320x100,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33898_s_m_business_nbs_accounting_corporate_banner_glavbukh_ru__lawyer_990x140,glavbukh.ru,,,,0
2025-05-22,1127723,Годовой performance. РКО 2025 (Медийка),rk1127723gr33900_s_m_business_nbs_accounting_corporate_banner_fd_ru__accountant_240x400,fd.ru,,,,0
